Question,A,B,C,D
"Theo tài liệu Public_021, khi đo chiều dày màng khô của vật liệu bảo vệ, nguyên tắc nào được áp dụng và liệu có yêu cầu về đường kính vỏ bọc tối thiểu ưu tiên của đầu đo nhiệt liên quan đến quy trình này không?","Nguyên tắc cơ học; đường kính vỏ bọc tối thiểu 0,5 mm","Nguyên tắc quang học; đường kính vỏ bọc tối thiểu 1,0 mm","Nguyên tắc cảm ứng điện từ hoặc dòng điện xoáy; đường kính vỏ bọc tối thiểu 1,5 mm","Nguyên tắc thủy lực; đường kính vỏ bọc tối thiểu 2,0 mm"
Nội dung chính của tài liệu là gì?,Giới thiệu lịch sử phát triển CNTT ở Việt Nam,"Trình bày khái niệm, tình hình nghiên cứu, thách thức và hướng phát triển của xử lý tiếng Việt trong CNTT",Đề xuất các thuật toán xử lý ngôn ngữ mới,Phân tích hệ thống mạng viễn thông
"Theo đánh giá, hiện có bao nhiêu phần trăm dữ liệu không cấu trúc trong tổng lượng dữ liệu của loài người?",0.5,0.7,0.8,0.9
Tiêu chuẩn TCVN xxxx:202x được xây dựng dựa trên tiêu chuẩn quốc tế nào?,EN 13501-1,ISO 834-10,ISO 1716,IEC 584-1
Chiều dày lớp bảo vệ chịu lửa được định nghĩa như thế nào?,Tổng chiều dày của hệ đỡ và lớp phủ bảo vệ,Độ dày phần bề mặt cấu kiện thép tiếp xúc với lửa,"Chiều dày khô của lớp phủ hoặc tổng các lớp trong hệ bảo vệ (không tính sơn lót, sơn phủ, hệ đỡ)",Độ dày phần thép lõi bên trong
"Theo tài liệu Public_022, các thử nghiệm chịu lửa được áp dụng cho những loại tiết diện thép nào và không áp dụng cho loại nào?",Áp dụng cho thanh/que đặc; không áp dụng cho tiết diện rỗng nhồi bê tông,Áp dụng cho tiết diện có lỗ hở; không áp dụng cho tiết diện chữ I,"Áp dụng cho tiết diện chữ I, H, C, T, rỗng; không áp dụng cho thanh/que đặc hoặc tiết diện rỗng nhồi bê tông",Áp dụng cho tất cả tiết diện thép; không có ngoại lệ
Nội dung chính của tiêu chuẩn TCVN xxxx:202x là gì?,Hướng dẫn thiết kế cấu kiện thép chịu lực,Quy định phương pháp thử nghiệm để đánh giá hiệu quả của hệ bọc bảo vệ chịu lửa cho cấu kiện thép trong công trình,Tiêu chuẩn tính toán kết cấu bê tông cốt thép,Hướng dẫn bảo trì lớp sơn chống cháy
"Theo quy định, mẫu thử nghiệm dầm chịu tải phải chịu tải trọng bằng bao nhiêu phần trăm sức kháng mô men thiết kế?",0.3,0.5,0.6,0.8
Chiều dày vật liệu bọc bảo vệ dạng bản hoặc tấm được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,0.1,0.15,0.2,0.3
"Đối với lớp phủ dạng phản ứng, độ dày trung bình được xác định như thế nào?",Đo tổng chiều dày lớp sơn phủ,Lấy giá trị lớn nhất trong các phép đo,"Tính từ tổng chiều dày trừ đi lớp sơn lót, sau đó áp dụng các quy tắc dung sai phần trăm",Chỉ đo tại 3 điểm cố định
Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,"Quản lý tài nguyên, điều khiển thiết bị, quản lý chương trình, giao tiếp với người dùng; Windows 95",Chỉ quản lý bộ nhớ và CPU; Windows 3.0,Chỉ khởi động máy và tắt máy; Windows NT 4.0,Quản lý thiết bị ngoại vi nhưng không quản lý tệp; Windows XP
Nội dung chính của tài liệu Public_023 là gì?,Quy định về kết cấu thép trong thiết kế nhà cao tầng,"Hướng dẫn quy trình xác định chiều dày, khối lượng riêng, lựa chọn và lắp đặt mẫu thử nghiệm đối với hệ bảo vệ chịu lửa",Tiêu chuẩn thi công và nghiệm thu sơn công nghiệp,Hướng dẫn bảo dưỡng lớp phủ sau thi công
Khối lượng riêng của vật liệu bảo vệ dạng thụ động được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,0.1,0.12,0.15,0.2
"Theo tài liệu Public_024, thực phẩm được định nghĩa là gì?",Những món ăn truyền thống của một địa phương,"Hỗn hợp các chất hóa học có nguồn gốc từ thực vật và động vật, được con người sử dụng qua đường tiêu hóa nhằm mục đích dinh dưỡng",Các sản phẩm công nghiệp chế biến từ sữa và ngũ cốc,Các loại đồ uống có gas và rượu bia
Thực phẩm giàu protein thường có trong nhóm nguyên liệu nào?,"Các loại củ giàu tinh bột như khoai, sắn","Rau xanh, trái cây tươi","Nguyên liệu động vật (thịt, thủy sản) và một số loại đậu, nấm",Dầu thực vật và bơ
Thực phẩm là gì? Thực phẩm chức năng dùng chủ yếu để làm gì?,"Chỉ là đồ uống, chỉ giải khát","Hỗn hợp các chất hóa học cung cấp dinh dưỡng, dùng chủ yếu để phòng và hỗ trợ điều trị bệnh","Là thuốc, chữa bệnh thay thế",Chỉ tăng năng lượng
Nội dung chính của phần “Khái quát về thực phẩm và công nghệ thực phẩm” là gì?,"Trình bày khái niệm, phân loại, mục đích sử dụng, các chỉ tiêu chất lượng của thực phẩm và mối quan tâm của người tiêu dùng",Hướng dẫn chi tiết quy trình sản xuất bia và sữa,Phân tích giá trị kinh tế của ngành thực phẩm,Giới thiệu lịch sử ngành công nghệ thực phẩm
"Nếu một người tiêu dùng mua 100g bánh mì (giàu glucid ~50%) và 100g cá (giàu protein ~20%), thì lượng glucid và protein người đó nạp vào lần lượt là bao nhiêu gam?",40g glucid và 10g protein,60g glucid và 30g protein,50g glucid và 20g protein,70g glucid và 25g protein
Định nghĩa của chiếu xạ thực phẩm trong tài liệu Public_025 là gì?,Quá trình xử lý thực phẩm bằng nhiệt độ cao,Quá trình sử dụng tia bức xạ điện từ hoặc dòng electron tác động lên thực phẩm để gây biến đổi có lợi,Phương pháp sử dụng hóa chất bảo quản thực phẩm,Quá trình sử dụng khí nén trong công nghiệp thực phẩm
Tia bức xạ nào hiện nay được sử dụng phổ biến trong công nghiệp thực phẩm?,Tia X,Tia beta,Tia gamma,Tia tử ngoại
Chiếu xạ thực phẩm về mặt cơ sở khoa học là gì? Và mục đích công nghệ chủ yếu hiện nay của chiếu xạ thực phẩm là gì?,"Là quá trình dùng sóng siêu âm khử trùng thực phẩm, chủ yếu để tăng mùi vị","Là quá trình dùng hóa chất khử trùng thực phẩm, chủ yếu để tạo màu sắc","Là quá trình lên men thực phẩm, chủ yếu để tăng giá trị dinh dưỡng","Là quá trình làm lạnh đông thực phẩm, chủ yếu để giảm chi phí"
Nội dung chính của phần “Chiếu xạ trong công nghiệp thực phẩm” là gì?,"Trình bày cơ sở khoa học, mục đích công nghệ, biến đổi vật lý – hóa học – sinh học của nguyên liệu, và ứng dụng chiếu xạ trong bảo quản, chế biến thực phẩm",Chỉ phân tích vai trò của tia gamma trong công nghiệp,Trình bày lịch sử phát minh chiếu xạ ở châu Âu,So sánh chiếu xạ với các phương pháp thanh trùng khác
"Nếu một loại trái cây được xử lý bằng liều chiếu xạ 2 kGy, trong khi mức 1 kGy không làm mất vitamin C còn mức 2–4 kGy làm giảm mạnh vitamin C, thì loại trái cây đó có nguy cơ bị giảm giá trị dinh dưỡng như thế nào?",Không thay đổi giá trị dinh dưỡng,Bị hỏng ngay lập tức,Giảm mạnh hàm lượng vitamin C,Mất toàn bộ khoáng chất và protein
Xơ dệt được phân loại theo nguồn gốc thành mấy nhóm chính?,1 nhóm,2 nhóm: xơ tự nhiên và xơ hóa học,3 nhóm,4 nhóm
"Theo tài liệu Public_026, thành phần chính của xơ len là gì?",Xenlulozơ,Tơ tằm (Fibroin),Keratin (chiếm khoảng 90%),Polyester
Vật liệu dệt là gì? Và chúng được phân loại chủ yếu dựa theo tiêu chí nào?,Là ngành sản xuất quần áo; phân loại theo mục đích sử dụng,Là ngành nghiên cứu may mặc; phân loại theo màu sắc và hình dạng,Là ngành công nghiệp bao bì; phân loại theo kích thước và độ bền,Là ngành dệt len tơ tằm; phân loại theo nguồn gốc địa lý
Nội dung chính của chương 1 trong tài liệu `Public_026` là gì?,Giới thiệu lịch sử ngành dệt may,"Trình bày khái niệm, phân loại và tính chất cơ bản của xơ, sợi và sản phẩm dệt",Phương pháp gia công vải dệt kim,Quy trình nhuộm và in vải
Nếu một sợi có chiều dài 1000 m và khối lượng 20 g thì chỉ số Tex của sợi đó bằng bao nhiêu?,10 Tex,15 Tex,20 Tex,25 Tex
Thành phần chính của xơ bông là gì?,Lignin,Xenlulozơ (trên 90%),Keratin,Tinh bột
Nhiệt độ chuyển mềm của len thường nằm trong khoảng nào?,50–70°C,80–90°C,100–110°C,150–170°C
Xenlulô là gì và vải sợi gốc xenlulô có ưu điểm gì?,"Xenlulô là protein của động vật, vải sợi xenlulô chủ yếu giữ nhiệt vào mùa đông","Xenlulô là hợp chất vô cơ, vải sợi xenlulô chủ yếu chống cháy","Xenlulô là este hóa học nhân tạo, vải sợi xenlulô không thấm nước","Xenlulô là hợp chất từ dầu mỏ, vải sợi xenlulô không hút ẩm"
Nội dung chính của tài liệu Public_027 là gì?,Giới thiệu công nghệ dệt kim hiện đại,"Trình bày chi tiết thành phần hóa học, tính chất cơ lý, hóa học và ứng dụng của các loại xơ tự nhiên (bông, len, tơ tằm, amiăng)",Hướng dẫn quy trình nhuộm và in hoa vải,Các phương pháp sản xuất sợi tổng hợp
"Nếu sợi bông có độ ẩm hoàn toàn khô là 8 g, khi hút ẩm đạt khối lượng 8,8 g thì độ ẩm tương đối của sợi là bao nhiêu?",0.05,0.08,0.1,0.12
Ai là những nhà khoa học được ghi nhận phát minh ra transistor lưỡng cực vào năm 1947?,"Nikola Tesla, Thomas Edison, Alexander Bell","Albert Einstein, Niels Bohr, Max Planck","John Bardeen, William Shockley, Walter Brattain","James Clerk Maxwell, Michael Faraday, Enrico Fermi"
Transistor NPN có các cực được sắp xếp như thế nào?,"Emitter–P, Base–N, Collector–P","Emitter–N, Base–P, Collector–N","Emitter–P, Base–P, Collector–N","Emitter–N, Base–N, Collector–P"
Transistor được tạo thành từ mấy lớp bán dẫn và ba người nào được ghi nhận là những nhà phát minh ra nó?,"Transistor được tạo từ ba lớp bán dẫn và do John Bardeen, William Shockley và Walter Brattain phát minh","Transistor được tạo từ bốn lớp bán dẫn và do John Bardeen, William Shockley và Nikola Tesla phát minh",Transistor được tạo từ ba lớp bán dẫn và do Thomas Edison phát minh,Transistor được tạo từ một lớp bán dẫn và do Albert Einstein phát minh
Nội dung chính của tài liệu Public_028 là gì?,Giới thiệu vi mạch số học ALU,"Trình bày cấu tạo, ký hiệu, nguyên lý hoạt động của transistor lưỡng cực (BJT) và ứng dụng của nó",Phân tích vi mạch logic số,Hướng dẫn chế tạo diode bán dẫn
"Nếu bộ phát (Emitter) bị pha tạp nặng, Base pha tạp nhẹ và Collector pha tạp vừa phải, thì vùng nghèo kiệt sẽ mở rộng nhiều hơn về phía nào?",Emitter,Collector,Base,Không thay đổi
Vật liệu nào phổ biến nhất được sử dụng làm chất bán dẫn cơ bản?,Silicon (Si),Germanium (Ge),Gallium Arsenide (GaAs),Antimon (Sb)
Quá trình thêm tạp chất vào chất bán dẫn để cải thiện tính dẫn điện gọi là gì?,Ion hóa,Doping,Khuếch tán,Tái hợp
Chất bán dẫn tinh khiết là gì và hiện tượng pha tạp (doping) có tác dụng gì?,"Là vật liệu như silicon, germanium có rất ít electron tự do; doping làm thay đổi độ dẫn điện bằng cách tạo thêm electron hoặc lỗ trống",Là chất cách điện hoàn toàn; doping làm nó thành chất siêu dẫn,Là vật liệu chỉ có lỗ trống; doping làm giảm điện trở về 0,Là vật liệu dẫn điện mạnh; doping làm tăng độ bền cơ học
Nội dung chính của tài liệu là gì?,Trình bày nguyên lý hoạt động của transistor BJT,"Giới thiệu khái niệm chất bán dẫn, phân loại (P-type, N-type), cơ chế dẫn điện, hiện tượng dòng điện và mối nối P–N",Phân tích mạch điện xoay chiều,Giới thiệu công nghệ chế tạo vi mạch
"Nếu một tinh thể silicon có tỷ lệ doping là 1 nguyên tử tạp chất trên 10 triệu nguyên tử Si, thì khi thêm 100 nguyên tử tạp chất, số nguyên tử Si xấp xỉ bao nhiêu?",1 triệu,5 triệu,1 tỉ (10⁹),10 nghìn
Đơn vị đo điện dung của tụ điện là gì?,Farad (F),Volt (V),Coulomb (C),Ohm (Ω)
Hằng số điện môi ε₀ trong chân không có giá trị bao nhiêu?,"9,81 × 10⁻³ N/kg","8,854 × 10⁻¹² F/m","6,67 × 10⁻¹¹ Nm²/kg²","1,6 × 10⁻¹⁹ C"
Tụ điện là gì và điện dung của tụ được tính theo công thức nào?,Tụ điện là linh kiện thụ động có khả năng tích trữ năng lượng điện dưới dạng điện tích; điện dung C = Q/V,Tụ điện là linh kiện tích trữ năng lượng cơ học; điện dung C = I/V,Tụ điện là linh kiện thụ động chỉ dẫn dòng điện DC; điện dung C = Q·V,Tụ điện là pin sạc; điện dung C = V²/Q
